cluster,loci1_chromosome,loci1_position,loci2_chromosome,loci2_position
3,1,21445495,1,22580903
3,1,21444577,1,21580668
3,1,17959264,1,17982252
3,1,17959161,1,18814747
4,1,205428933,1,204845346
4,1,39057624,1,39068444
4,1,194749505,1,195515455
4,1,26575940,1,26359368
4,1,205850301,1,205291397
4,1,12164706,1,12146866
4,1,12164706,1,12162067
4,1,39769701,1,38967497
4,1,29928724,1,29841627
4,1,37495903,1,37332238
4,1,29620118,1,29809181
4,1,2779045,1,3403900
4,1,2705981,1,2118572
4,1,38289486,1,38275987
4,1,199954473,1,199912452
4,1,199953572,1,200001404
4,1,199955308,1,200024374
4,1,17875178,1,19828108
4,1,17124251,1,17147672
4,1,8359464,1,6757283
4,1,3540012,1,3496749
4,1,30575883,1,29672435
4,1,30564378,1,30726385
4,1,30569313,1,30569313
4,1,37507848,1,37553559
4,1,153294860,1,152781172
4,1,173977769,1,175045845
4,1,173977769,8,145912530
4,1,173976506,1,173333194
4,1,36357968,1,36528824
4,1,37512641,1,36984157
4,1,29632121,1,29606546
4,1,29623962,1,30951805
4,1,37273940,1,36408249
4,1,226699206,1,226687346
4,1,25727753,1,25801344
4,1,25726429,1,26103311
4,1,9866478,1,9911925
4,1,9865724,1,9768260
4,1,18459423,1,18137566
4,1,44166505,1,43460229
4,1,44158413,1,43591225
4,1,18648977,1,18498005
4,1,46987895,1,46987895
4,1,226053327,1,226270328
4,1,2822760,1,2822760
4,1,34696196,1,34696196
4,1,15157199,1,13658906
4,1,226476709,1,225530833
4,1,36971090,1,36971090
4,1,29921406,1,30139403
4,1,4699586,1,5660592
4,1,151593439,1,151847695
4,1,151593439,1,152825855
4,1,44095673,1,44095673
4,1,2793367,1,2303744
4,1,37170572,1,37170572
4,1,19552634,1,17802394
4,1,178425382,1,178507726
4,1,178421757,1,178483810
4,1,6356873,1,6068703
4,1,158165768,1,158130789
4,1,6009509,1,6086163
4,1,2226478,1,3335300
4,1,51513726,1,51524533
4,1,51506080,5,96529705
4,1,233510352,1,233506279
4,1,27784708,1,27730557
4,1,27784708,1,27751202
4,1,27780571,1,27773067
4,1,181735374,1,181787004
4,1,12146866,1,12093751
4,1,12146866,1,12164706
4,1,8718499,1,8372654
4,1,8718499,1,8724421
4,1,8688700,8,127193847
4,1,8635695,1,8635695
4,1,8599710,1,7852746
4,1,210518751,1,210515519
4,1,42546645,1,42726147
4,1,6796813,1,7852746
4,1,6793462,1,6702348
4,1,110886942,1,110878621
4,1,178437992,1,177163043
4,1,23013976,1,23007655
4,1,23013976,1,23011972
4,1,7538079,1,7981918
4,1,225556693,1,225120208
4,1,225551584,1,225515768
4,1,23359767,1,23367727
4,1,23355816,1,23390017
4,1,23338286,1,24142021
4,1,199902705,1,199910436
4,1,199901093,1,200143304
4,1,199898792,1,200028619
4,1,199900098,1,199879666
4,1,199959288,1,199679726
4,1,199953667,1,199951583
4,1,199952484,1,199693857
4,1,199951583,1,199953667
4,1,44507608,1,44787468
4,1,44502390,1,44787468
4,1,44500562,1,44487318
4,1,44495165,1,44291504
4,1,3825504,1,3937310
4,1,19547033,1,19529733
4,1,19546324,1,19241632
4,1,19546206,1,19541298
4,1,19546206,1,19684377
4,1,201030812,1,201200499
4,1,5888935,1,45091388
4,1,5884981,1,5949090
4,1,22671166,1,22655828
4,1,11536783,1,11572686
4,1,183168397,1,183244984
4,1,41455845,1,39893082
4,1,9794906,1,9894249
4,1,9761355,1,9835799
4,1,8366040,1,8955696
4,1,8347965,1,8432643
4,1,109044132,1,114355238
4,1,10585734,17,50657308
4,1,10585601,3,23741224
4,1,31875143,1,31780087
4,1,31875143,1,33013027
4,1,6264676,1,6308973
4,1,3694898,1,3553889
4,1,18464273,1,23034730
4,1,18463204,1,17759457
4,1,18461137,1,18410658
4,1,113741516,1,113649279
4,1,109990275,1,110752999
4,1,8413663,1,7900169
4,1,8413663,1,8413663
4,1,37210054,1,37058222
4,1,37196968,1,37332238
4,1,37187492,1,37553856
4,1,36954000,1,37283145
4,1,36925217,1,36925217
4,1,36924364,1,38494905
4,1,154638406,1,154808577
4,1,37533447,1,37544078
4,1,37528158,1,37528158
4,1,109849651,1,109482380
4,1,37319085,1,37559791
4,1,37314701,1,36898328
4,1,37328691,1,37328691
4,1,37295120,1,30174551
4,1,37288565,1,36884013
4,1,37284601,1,41460116
4,1,37283145,1,36954000
4,1,9875067,1,11842451
4,1,9874732,1,9782054
4,1,6847710,1,7542591
4,1,151457801,1,152545396
4,1,30153976,1,34013965
4,1,30153107,1,30306116
4,1,30141830,1,30768892
4,1,30139403,1,29921406
4,1,20593644,1,20498116
4,1,20593552,1,20593552
4,1,20588670,1,18841734
4,1,20588670,1,20368817
4,1,20585404,1,20428040
4,1,20584281,1,22667351
4,1,20584206,1,21851099
4,1,37054268,1,41567048
4,1,37050094,1,35243756
4,1,37049332,1,37044558
4,1,37037361,18,37084097
4,1,37009387,1,36953893
4,1,37009208,1,37687723
4,1,111977967,1,111816346
4,1,29687170,1,30121744
4,1,29675388,1,30771761
4,1,29674348,1,30949005
4,1,29672435,1,30575883
4,1,7092904,1,7355462
4,1,27459952,1,27429763
4,1,27450706,1,27444383
4,1,27446244,1,27948085
4,1,27444383,1,27288641
4,1,183154757,1,180642783
4,1,183152106,1,183035959
4,1,183137862,1,184307451
4,1,18322951,1,18334836
4,1,4023189,1,3179010
4,1,41822524,1,41854430
4,1,41802198,1,42404736
4,1,20614360,1,20614360
4,1,20602911,1,19843153
4,1,203513706,1,203555235
4,1,37248215,1,36867557
4,1,37241656,1,36911140
4,1,10205109,1,10150629
4,1,18511816,1,18526793
4,1,226694198,1,226672968
4,1,48032733,1,48032733
4,1,48027512,1,47760552
4,1,48011872,1,51865021
4,1,35741253,1,35794617
4,1,112878267,1,112968308
4,1,65165835,1,65121573
4,1,29747694,1,30887614
4,1,20849514,1,21012426
4,1,15934621,1,15845874
4,1,7416371,1,4190908
4,1,7406306,1,4897893
4,1,165516945,1,166583149
4,1,167717274,1,169704486
4,1,203436748,1,203358348
4,1,225530833,1,226476709
4,1,225516753,1,226709496
4,1,225515768,1,225551584
4,1,225501422,1,219097590
4,1,15212269,1,13934735
4,1,15212269,1,15242007
4,1,178203297,1,178280317
4,1,18725751,1,18733545
4,1,30635322,1,30552806
4,1,30616417,1,29711153
4,1,3179010,1,4023189
4,1,3178492,1,3303898
4,1,3173956,1,3206346
4,1,3173956,1,3333285
4,1,112277214,1,112136510
4,1,112272093,1,113948681
4,1,46284186,1,46416759
4,1,158169612,1,158195411
4,1,29562403,1,30129718
4,1,18389963,1,18622733
4,1,18334836,1,18322951
4,1,46796787,1,46632925
4,1,30671536,1,29957210
4,1,30659680,1,30622587
4,1,225137753,1,225008230
4,1,225135238,1,226296708
4,1,119717852,1,118550554
4,1,37418377,1,35955469
4,1,30002273,1,29855275
4,1,29993895,1,30888444
4,1,29993534,1,29966792
4,1,18232017,1,20517355
4,1,17982252,1,17959264
4,1,17979039,1,18001836
4,1,17979039,1,18867984
4,1,30071802,1,29408058
4,1,20643248,1,20636310
4,1,20641150,1,558787
4,1,7390692,1,7343340
4,1,150092874,1,151799943
4,1,30765374,1,31009057
4,1,30763570,1,29435555
4,1,7135515,1,7075195
4,1,151592199,1,152521023
4,1,29841627,1,29928724
4,1,29724300,1,29538778
4,1,29724300,1,29722896
4,1,29724300,1,30337575
4,1,30309340,1,29034939
4,1,30308140,1,30268504
4,1,30308090,1,34103272
4,1,30306116,1,30153107
4,1,30306067,1,34891417
4,1,52981897,1,558787
4,1,18137566,1,18459423
4,1,18131094,1,18982438
4,1,4647842,1,4429160
4,1,4646907,1,5790193
4,1,42045968,5,107778930
4,1,42043328,1,42589434
4,1,37504085,1,152418546
4,1,9655803,1,9793922
4,1,9652020,1,10263540
4,1,7515537,1,7450551
4,1,7510486,1,7510486
4,1,46426643,1,46442742
4,1,44101176,1,44099842
4,1,44091461,1,45821360
4,1,29593757,1,29975759
4,1,29590781,1,29461766
4,1,179589814,1,179589814
4,1,18021081,1,18499581
4,1,18019083,1,17275253
4,1,18019083,1,17978667
4,1,88956539,1,89740234
4,1,37332238,1,37196968
4,1,37332238,1,37495903
4,1,112308017,1,107656540
4,1,18001836,1,17979039
4,1,17988732,1,17728732
4,1,6308973,1,5489337
4,1,6308973,1,6264676
4,1,17939667,1,18918295
4,1,17934353,1,17934353
4,1,17932207,1,19966489
4,1,47886035,1,47695389
4,1,47870860,1,47764303
4,1,47870860,1,50760409
4,1,244717487,1,244761207
4,1,41989362,1,43074259
4,1,41993129,1,41775343
4,1,206093991,1,206056002
4,1,206086933,1,205294345
4,1,206084759,1,204921333
4,1,206084768,1,206068934
4,1,212549351,1,212823601
4,1,212548433,1,211887769
4,1,234638116,1,234746312
4,1,234636998,1,234540307
4,1,15210941,1,15193896
4,1,15177906,1,14869102
4,1,15168267,1,15162029
4,1,68394834,1,69052857
4,1,152153482,1,152183780
4,1,152144440,1,152126080
4,1,2882889,1,2344658
4,1,115832243,1,115832243
4,1,115810416,1,116160686
4,1,48163685,1,48238320
4,1,48158832,1,47741710
4,1,48155534,1,48169239
4,1,18640497,1,18697958
4,1,48041045,1,49025565
4,1,48041045,1,51661490
4,1,37368611,1,37368611
4,1,4594023,1,5609345
4,1,30729193,1,30729193
4,1,30726385,1,30564378
4,1,30174551,1,37295120
4,1,29901020,1,30885060
4,1,29897250,1,29851540
4,1,29696349,1,29081788
4,1,18172073,1,17578246
4,1,18163851,1,18175564
4,1,6820114,1,6979059
4,1,37585070,1,37561653
4,1,37583710,1,36956965
4,1,5469027,1,3235532
4,1,5462173,1,5238106
4,1,5461008,1,4560829
4,1,30526194,1,29897250
4,1,94341813,1,93402613
4,1,30691695,1,30691695
4,1,30552806,1,30635322
4,1,30546870,1,33632041
4,1,7534227,1,7520167
4,1,18590880,1,20638038
4,1,15162029,1,15168267
4,1,3235532,1,3270916
4,1,3235532,1,5469027
4,1,36978711,1,36806326
4,1,36956965,1,37140441
4,1,29991452,1,29991452
4,1,29975759,1,29593757
4,1,115480351,1,115590781
4,1,36992104,1,36987708
4,1,36991647,1,555194
4,1,18099660,1,18114360
4,1,173930953,1,173930953
4,1,18175564,1,18163851
4,1,18267984,1,19631246
4,1,18547420,1,18518268
4,1,18537871,1,17253915
4,1,5489337,1,6308973
4,1,46989085,1,46855902
4,1,46983465,1,46848622
4,1,41691299,1,41734894
4,1,41691756,1,41717273
4,1,30031444,1,30097571
4,1,30780280,1,29969720
4,1,30771761,1,29675388
4,1,30768892,1,30141830
4,1,30768122,1,30917513
4,1,18227587,1,18227587
4,1,111098760,5,134290257
4,1,18601931,1,18614137
4,1,4690860,1,5726749
4,1,4685714,1,4679542
4,1,4683056,1,5256808
4,1,4679542,1,4685714
4,1,18056533,1,19681940
4,1,17931759,1,17907365
4,1,5708785,1,3991481
4,1,2718226,1,2994039
4,1,120073280,1,120057454
4,1,120070468,1,120080865
4,1,40393856,1,40488432
4,1,21539642,1,22361128
4,1,21539523,1,20759940
4,1,21539523,1,22701842
4,1,21535997,1,20056664
4,1,2143841,1,2313548
5,1,100699800,1,100770223
5,1,52010123,1,52018720
5,1,144293553,1,144296926
5,1,224232878,1,224261028
5,1,224232878,1,224368685
5,1,210990033,1,210929270
5,1,152573663,1,152543927
5,1,35781894,1,35794617
5,1,35781894,1,35897238
5,1,165635396,1,165283948
5,1,244977980,1,244766681
5,1,154461864,1,154381274
5,1,154461650,1,154158246
5,1,235094547,1,235052210
5,1,204847088,1,205152143
5,1,204847088,1,205320883
5,1,204845346,1,205045149
5,1,24142021,1,23338286
5,1,225495431,1,225715077
5,1,10129716,1,10152200
5,1,23738144,1,23758003
5,1,24150634,1,23523245
5,1,16676614,1,16188414
5,1,19442980,1,19504234
5,1,233480743,1,233636162
5,1,149542364,1,149566673
5,1,12258012,1,12626636
5,1,154381274,1,154461864
5,1,44899201,1,46421880
5,1,44895808,1,44840221
5,1,42418256,1,42518460
5,1,42418256,1,43361645
5,1,35811173,1,35811173
5,1,27054022,1,26798209
5,1,110395339,1,110421951
5,1,36523784,1,36646191
5,1,40155010,1,39845903
5,1,229524239,1,229773407
5,1,229523635,1,229662846
5,1,227465452,1,227465452
5,1,27163981,1,27438619
5,1,33604882,1,33577814
5,1,22323202,1,22741111
5,1,22322726,1,22581354
5,1,166327446,1,166327446
5,1,6491349,1,6404813
5,1,42409975,1,44660919
5,1,3639063,1,3677441
5,1,32550570,1,31082984
5,1,32550457,1,32225733
5,1,117398841,1,117090722
5,1,205320931,1,205424368
5,1,205320931,1,205528629
5,1,205320883,1,204847088
5,1,205320883,1,205516850
5,1,205320277,1,205207932
5,1,205316288,1,205033207
5,1,47516855,1,47757840
5,1,155035262,1,154802230
5,1,155034011,1,155034011
5,1,181012939,1,179660747
5,1,152707052,1,152685513
5,1,205168530,1,205078942
5,1,203220831,1,203332236
5,1,202665271,1,202693362
5,1,202665271,1,202722249
5,1,202662773,1,202501519
5,1,202661637,1,201719949
5,1,200470184,1,200542056
5,1,200463814,1,200899965
5,1,200479555,1,200526784
5,1,110967230,1,111081490
5,1,110966287,1,111063009
5,1,110961098,1,111382484
5,1,159183049,1,159049544
5,1,15627485,1,15004957
5,1,210835249,1,233080583
5,1,210833523,1,210697034
5,1,14932013,1,13766311
5,1,14931246,1,14795297
5,1,203585254,1,203765440
5,1,201578514,1,201510935
5,1,47658973,1,47736888
5,1,31981442,1,32037941
5,1,15948104,1,14370534
5,1,15945841,1,15945841
5,1,210723121,1,210854574
5,1,210717980,1,210332417
5,1,210717980,1,211786060
5,1,210715340,1,212153945
5,1,210715306,1,210311094
5,1,210711778,1,210813511
5,1,210711543,1,210711543
5,1,41730189,1,41518233
5,1,15957300,1,16131928
5,1,9845101,1,10060571
5,1,44840221,1,44895808
5,1,22159631,1,21889328
5,1,22157419,1,21857563
5,1,16259460,1,15713465
5,1,16259460,1,16406695
5,1,15990292,1,16396166
5,1,242503596,1,241984485
5,1,242502713,1,242232675
5,1,165677788,1,165309311
5,1,180375243,1,180500489
5,1,149771061,1,149974006
5,1,44334350,1,44321893
5,1,44328380,1,44328380
5,1,26617407,1,26476578
5,1,155412711,1,156200601
5,1,155411472,1,155446434
5,1,43314887,1,43143349
5,1,43312952,1,43312952
5,1,43307503,1,43161351
5,1,158426045,1,158437072
5,1,158426045,1,158503379
5,1,158412275,1,158412275
5,1,149974006,1,149771061
5,1,176741487,1,176838384
5,1,176740001,1,176655092
5,1,165145772,1,163869893
5,1,165142523,1,165661371
5,1,174120698,1,174028116
5,1,44949953,1,45078749
5,1,232512059,1,231894747
5,1,165304162,1,165118987
5,1,165304162,1,165421225
5,1,41190549,1,41107047
5,1,203000700,1,202875602
5,1,229291999,1,229405810
5,1,150237027,1,149789287
5,1,150237027,1,150273210
5,1,150236784,1,150077318
5,1,150232245,1,149964020
5,1,24301480,1,24301480
5,1,16905348,1,17091641
5,1,165309311,1,164064201
5,1,165309311,1,165291355
5,1,165309311,1,165677788
5,1,165304658,1,163898779
5,1,169881198,1,169817632
5,1,169878598,1,170045447
5,1,169876904,1,169876904
5,1,209382969,1,209283463
5,1,120312437,1,117934473
5,1,120308690,1,120217554
5,1,207817673,1,206280068
5,1,207814732,1,206268884
5,1,154682457,1,154643873
5,1,154678070,1,154476621
5,1,154677345,1,154677345
5,1,90956870,1,92380062
5,1,173555747,1,173386748
5,1,173556494,1,173288517
5,1,173552117,1,173628490
5,1,114622573,1,113099110
5,1,182906249,1,182289021
5,1,13867402,1,13884479
5,1,221769817,1,222999847
5,1,221765926,1,222462487
5,1,245616331,1,245071921
5,1,198752595,1,196655760
5,1,150239897,1,150111517
5,1,20771109,1,20785373
5,1,206222175,1,206481742
5,1,6702946,1,6613875
5,1,6702348,1,6793462
5,1,111567336,1,558787
5,1,111565593,1,111513613
5,1,206232642,1,206161962
5,1,206231889,1,206184013
5,1,165675333,1,165746541
5,1,165673572,1,165673572
5,1,221879093,1,221939275
5,1,152904718,1,152848245
5,1,146195704,1,145449599
5,1,146195704,1,145618368
5,1,146195704,16,69736688
5,1,146188345,16,69590889
5,1,211239249,1,210879239
5,1,120234710,1,143636817
5,1,63576521,1,63761238
5,1,20173242,1,20287150
5,1,20170158,1,19593457
5,1,221932276,1,221932276
5,1,221925163,1,223134684
5,1,221924484,1,221748057
5,1,198519217,1,197913099
5,1,198519217,1,198275346
5,1,25303199,1,25303199
5,1,55193407,1,54983423
5,1,26598754,1,26515395
5,1,21688856,1,21710750
5,1,55184246,1,55136946
5,1,208141420,1,209367220
5,1,32765157,1,33022001
5,1,142118841,4,22953
5,1,29538778,1,29724300
5,1,221323174,1,221226428
5,1,23172849,1,22273887
5,1,23168331,1,22719273
5,1,179660747,1,181012939
5,1,112719738,1,112699810
5,1,112719615,1,112376982
5,1,52244362,1,52284751
5,1,20125227,1,20010578
5,1,243032065,1,244032330
5,1,51427240,1,51772637
5,1,172351729,1,171590117
5,1,150256666,1,150288953
5,1,47382995,1,45043519
5,1,44329584,1,44203897
5,1,7736026,1,7687942
5,1,173613225,1,173619004
5,1,2068408,1,2093388
5,1,2068408,1,2208534
5,1,9117728,1,9235553
5,1,210865247,1,210842859
5,1,201407586,1,201432176
5,1,201351417,1,202096194
5,1,201350613,1,201289938
5,1,110872468,1,110953633
5,1,110865265,1,111148500
5,1,17440948,1,17440948
5,1,17435226,1,16812627
5,1,23092543,1,23760159
5,1,23083038,1,22863389
5,1,18883407,1,19610018
5,1,18880929,1,18834781
5,1,18880929,1,18911660
5,1,9268892,1,9134078
5,1,178036957,1,178036957
5,1,224876340,1,224743840
5,1,228515971,1,227496794
5,1,228513760,1,227783761
5,1,228513760,1,228713147
5,1,32719306,1,32825285
5,1,32713084,1,32000869
5,1,200552197,1,200552197
5,1,200552197,1,200925549
5,1,200547068,1,201421189
5,1,22518100,1,22405529
5,1,22508427,1,22304619
5,1,9228533,1,8685876
5,1,27171394,1,27209711
5,1,27164461,1,26211756
5,1,27164461,1,27239323
5,1,202399347,1,202623495
5,1,202397556,1,202086864
5,1,202396274,1,202555565
5,1,152781172,1,153294860
5,1,152781070,1,152642909
5,1,55025341,1,54837156
5,1,41763227,1,43015009
5,1,203225564,1,203098384
5,1,43468929,1,43601847
5,1,43468356,1,43495728
5,1,228999246,1,229036492
5,1,228995744,1,229405810
5,1,206372820,1,206410312
5,1,206371092,1,206346039
5,1,228051263,1,228043635
5,1,178483810,1,178421757
5,1,178483810,1,178518700
5,1,110456822,1,110409095
5,1,110456822,1,110490206
5,1,110449035,1,110129145
5,1,23850713,1,23835310
5,1,23848211,1,23848211
5,1,20011063,1,21570992
5,1,20011598,1,19997510
5,1,20010578,1,19881046
5,1,20010578,1,20125227
5,1,201324240,1,202349217
5,1,31802480,1,31910549
5,1,17841945,1,17765587
5,1,14028248,1,14064808
5,1,14027454,1,14084144
5,1,19075112,1,17294200
5,1,19075112,1,18601931
5,1,19075112,1,20305627
5,1,19073056,1,19073056
5,1,55235901,1,55243780
5,1,30951805,1,29623962
5,1,30949005,1,29674348
5,1,30948916,1,30881783
5,1,8965872,1,9064246
5,1,8965504,1,8965504
5,1,37669837,1,37843357
5,1,203184265,1,203056095
5,1,203176070,1,202406269
5,1,224807258,1,225946943
5,1,17535205,1,17783461
5,1,36880319,1,37549101
5,1,36884013,1,37288565
5,1,17819234,1,17790669
5,1,19022599,1,19002802
5,1,19021450,1,19242382
5,1,17321188,1,17321188
5,1,203571148,1,203654356
5,1,41506170,1,41512073
5,1,18793352,1,18838930
5,1,9008532,1,9008532
5,1,173390388,1,173457727
5,1,173386748,1,173555747
5,1,11625693,1,11042104
5,1,11625028,1,10650759
5,1,11320685,1,11379365
5,1,11319551,1,11547755
5,1,11317551,1,11286793
5,1,11317551,1,11317551
5,1,206258496,1,207306386
5,1,203593278,1,203575167
5,1,203592630,1,203525937
5,1,203588885,1,203703727
5,1,203639562,1,204777036
5,1,9121821,1,9222701
5,1,112703702,1,112703702
5,1,6875188,1,6875188
5,1,31835520,1,31207282
5,1,203291091,1,203263353
5,1,203280348,1,203291091
5,1,24587276,1,24523635
5,1,24586508,1,24408935
5,1,173383071,1,174936435
5,1,20562382,1,19237350
5,1,20561846,1,20449145
5,1,19919658,1,20091897
5,1,19911377,1,19876117
5,1,173609165,1,173705733
5,1,173608505,1,173608505
5,1,173608505,1,174741056
5,1,37559791,1,37319085
5,1,37561653,1,37585070
5,1,37558259,1,37646941
5,1,25093242,1,24131881
5,1,24410589,1,24336461
5,1,24408935,1,24586508
5,1,8296630,1,8132846
5,1,8292227,1,8023371
5,1,18769044,1,17911554
5,1,17857527,1,17723710
5,1,23119009,1,22961264
5,1,7634304,1,7382106
5,1,7617609,1,6463901
5,1,7617609,1,7021753
5,1,3333285,1,3173956
5,1,2024542,1,2024542
5,1,2021725,1,2307734
5,1,199687126,1,199530984
5,1,199685857,1,199676544
5,1,199673827,1,199751334
5,1,199357332,1,199220000
5,1,199449261,1,199650015
5,1,199608971,1,199008403
5,1,199491937,1,199491937
5,1,199210334,1,199311161
5,1,199210000,1,199273652
5,1,199347394,1,203320829
5,1,199321353,1,199282110
5,1,238131999,1,235423993
5,1,217901355,1,216570651
5,1,218970279,1,220296511
5,1,40907071,1,41252509
5,1,199597417,1,200061694
5,1,207593039,1,206092429
5,1,163602102,1,163824679
5,1,163828914,1,163622525
5,1,163628436,1,164798889
5,1,199764701,1,199752918
5,1,199762006,1,199729366
5,1,221328831,1,221354803
5,1,5726749,1,4690860
5,1,5726749,1,7209986
5,1,23689498,1,23455182
5,1,242531211,1,242392970
5,1,199721297,1,199690400
5,1,199796442,1,199785859
5,1,199690400,1,199721297
5,1,199690400,1,200014629
5,1,177239093,1,177234961
5,1,170690169,1,170732348
5,1,170686101,1,170874205
5,1,221354803,1,221328831
5,1,23696588,1,23683173
5,1,170678627,1,168711837
5,1,170678306,1,170849696
5,1,62323755,1,58035049
5,1,209938156,1,210046511
5,1,240220374,1,241541387
5,1,116481097,1,116832568
5,1,116481097,1,117071217
5,1,240226842,1,239559712
5,1,76394370,1,77329231
5,1,233324628,1,233324628
5,1,36344111,1,36456021
5,1,36343784,1,36363786
5,1,114684082,1,115396185
5,1,31790307,1,31642321
5,1,112814373,1,112699696
5,1,112809435,1,111861282
5,1,112806810,1,112743839
5,1,31627433,1,31627433
5,1,9610807,1,9625029
5,1,9610807,1,10477595
5,1,32047820,1,31872632
5,1,31642321,1,31790307
5,1,9481975,1,10308018
5,1,9472509,1,9573154
5,1,9471264,1,9280226
5,1,9466028,1,9566034
5,1,16224526,1,16254428
5,1,84858581,1,84986135
5,1,24071150,1,23290413
5,1,165791847,1,165811362
5,1,226386326,1,227416888
5,1,203825471,1,203880166
5,1,120220245,1,120237666
5,1,120217554,1,120308690
5,1,26602710,1,26602710
5,1,223730170,1,223776627
5,1,223730009,1,223797550
5,1,24276051,1,24276051
5,1,21412302,1,21569770
5,1,21405957,1,22097886
5,1,179418717,1,178352373
5,1,17147672,1,17124251
5,1,17147672,1,17213193
5,1,26569227,1,26980701
5,1,245193613,1,242715005
5,1,162917865,1,160900964
5,1,67771238,1,67781704
5,1,205803993,1,205733291
